fk_name	schema_name	table	column	referenced_table	referenced_column
FK_GCDE_TAX_TAXPR__GCDE_SEV_TAX_TYPE	dbo	GCDE_TAX_TAXPR	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GXRF_CW_CHK_FRM_TAX_CTGY_GCDE_SEV_TAX_TYPE	dbo	GXRF_CW_CHK_FRM_TAX_CTGY	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GCDE_ST_TAX_TYPE_TAX_ENTY	dbo	GCDE_ST_TAX_TYPE	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_GXRF_TAX_CLASS_TYPE_EXMPT__GCDE_SEV_TAX_TYPE	dbo	GXRF_TAX_CLASS_TYPE_EXMPT	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GCDE_TAX_ENTY1	dbo	GCDE_TAX_COLO_EXCLD_SYS_SRC	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_AXRF_SEV_TAX_TYPE__GCDE_SEV_TAX_TYPE	dbo	AXRF_SEV_TAX_TYPE	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GXRF_TAX_ST_OPER__GCDE_TAX_ENTY	dbo	GXRF_TAX_ST_OPER	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_GCDE_TAX_RPT_GNRT_DT__GCDE_TAX_ENTY	dbo	GCDE_TAX_RPT_GNRT_DT	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_TONL_KS_KDOR_MST__GCDE_TAX_ENTY	dbo	TONL_KS_KDOR_MST	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_TTRN_RPT_PROC_CTRL__GCDE_TAX_ENTY	dbo	TTRN_RPT_PROC_CTRL	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_TXRF_DISP_EXTR_EXCLD__GCDE_TAX_ENTY	dbo	TXRF_DISP_EXTR_EXCLD	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_GXRF_PTNSHP_ADJ_KEYWORD__GCDE_ADJ_CTGY	dbo	GXRF_PTNSHP_ADJ_KEYWORD	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_DONL_MKT_EXMP_GRP_DETAIL__GCDE_ADJ_CTGY	dbo	DONL_MKT_EXMP_GRP_DETAIL	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_RXRF_CW_CDEX_ADJ_CTGY__GCDE_ADJ_CTGY	dbo	RXRF_CW_CDEX_ADJ_CTGY	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_TONL_KS_KCC_MST__GCDE_TAX_ENTY	dbo	TONL_KS_KCC_MST	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_RXRF_CI_CHK_FLD_TAX_TYPE__GCDE_SEV_TAX_TYPE	dbo	RXRF_CI_CHK_FLD_TAX_TYPE	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_JONL_MANL_JE_DETAIL_TAX__GCDE_SEV_TAX_TYPE	dbo	JONL_MANL_JE_DETAIL_TAX	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GCDE_TAX_RND__GCDE_TAX_ENTY	dbo	GCDE_TAX_RND	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_RXRF_ST_TAX_TYPE__GCDE_SEV_TAX_TYPE	dbo	RXRF_ST_TAX_TYPE	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GXRF_RRN_REQ__GCDE_TAX_ENTY	dbo	GXRF_RRN_REQ	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_RONL_MANL_CHK_DETAIL_TAX__GCDE_SEV_TAX_TYPE	dbo	RONL_MANL_CHK_DETAIL_TAX	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_DONL_OWNR_MKT_EXMPT_MAINT_DETAIL__GCDE_ADJ_CTGY	dbo	DONL_OWNR_MKT_EXMPT_MAINT_DETAIL	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_GCDE_DFLT_MKT_EXMPT__GCDE_ADJ_CTGY	dbo	GCDE_DFLT_MKT_EXMPT	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_JONL_MANL_JE_DETAIL_ADJ_CTGY__GCDE_ADJ_CTGY	dbo	JONL_MANL_JE_DETAIL_ADJ_CTGY	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_RXRF_CI_CHK_FLD_ADJ_TYPE__GCDE_ADJ_CTGY	dbo	RXRF_CI_CHK_FLD_ADJ_TYPE	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_RONL_MANL_CHK_DETAIL_ADJ_CTGY__GCDE_ADJ_CTGY	dbo	RONL_MANL_CHK_DETAIL_ADJ_CTGY	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_DONL_DO_MKT_EXMPT_HIST__GCDE_ADJ_CTGY	dbo	DONL_DO_MKT_EXMPT_HIST	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_DONL_DVD_DO_MKT_EXMPT_HIST__GCDE_ADJ_CTGY	dbo	DONL_DVD_DO_MKT_EXMPT_HIST	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_DONL_DVD_MKT_EXMPT_MAINT_DETAIL__GCDE_ADJ_CTGY	dbo	DONL_DVD_MKT_EXMPT_MAINT_DETAIL	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_KONL_TAX_TERM_DETAIL__GCDE_SEV_TAX_TYPE	dbo	KONL_TAX_TERM_DETAIL	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_TXRF_ST_TAX_TYPE_SEV_TAX_TYPE	dbo	TXRF_ST_TAX_TYPE	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_TXRF_SEV_CERT__GCDE_TAX_ENTY	dbo	TXRF_SEV_CERT	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_TTRN_RRN__GCDE_TAX_ENTY	dbo	TTRN_RRN	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_TXRF_TAXPR__GCDE_SEV_TAX_TYPE	dbo	TXRF_TAXPR	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_GCDE_TAX_WELL_COMPL_EXCL__GCDE_TAX_ENTY	dbo	GCDE_TAX_WELL_COMPL_EXCL	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_RONL_ST_TAX_MKT_EXMPT__GCDE_ADJ_CTGY	dbo	RONL_ST_TAX_MKT_EXMPT	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_TONL_OK_OTC_MST__GCDE_TAX_ENTY	dbo	TONL_OK_OTC_MST	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_RONL_DO_ACCTG_DATA_TAX__GCDE_SEV_TAX_TYPE	dbo	RONL_DO_ACCTG_DATA_TAX	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_RONL_MANL_INPUT_TAX__GCDE_SEV_TAX_TYPE	dbo	RONL_MANL_INPUT_TAX	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_ASTG_DO_ACCTG_DATA_TAX__GCDE_SEV_TAX_TYPE	dbo	ASTG_DO_ACCTG_DATA_TAX	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_JXRF_ACCT_ACCT_GRP__GCDE_SEV_TAX_TYPE	dbo	JXRF_ACCT_ACCT_GRP	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_JXRF_ACCT_ACCT_GRP__GCDE_ADJ_CTGY	dbo	JXRF_ACCT_ACCT_GRP	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_DONL_MKT_EXMPT__GCDE_ADJ_CTGY	dbo	DONL_MKT_EXMPT	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_DONL_DVD_MKT_EXMPT__GCDE_ADJ_CTGY	dbo	DONL_DVD_MKT_EXMPT	ADJ_CTGY_CD	GCDE_ADJ_CTGY	ADJ_CTGY_CD
FK_TONL_TAX_INPUT__GCDE_SEV_TAX_TYPE	dbo	TONL_TAX_INPUT	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
FK_TONL_COLO_DOR_MST__GCDE_TAX_ENTY	dbo	TONL_COLO_DOR_MST	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_TONL_CA_DOG_MST__GCDE_TAX_ENTY	dbo	TONL_CA_DOG_MST	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_RONL_ST_TAX_RATE_HDR__GCDE_SEV_TAX_TYPE	dbo	RONL_ST_TAX_RATE_HDR	SEV_TAX_TYPE_CD	GCDE_SEV_TAX_TYPE	SEV_TAX_TYPE_CD
